title,year,length,budget,rating,votes
Metropolis,1927,117,NA,8.4,11988
M,1931,99,NA,8.5,12053
King Kong,1933,100,670000,7.9,10301
Duck Soup,1933,68,NA,8.3,9870
Modern Times,1936,87,1500000,8.5,10326
Snow White and the Seven Dwarfs,1937,83,1488000,7.8,14341
Bringing Up Baby,1938,102,NA,8.2,9250
"Wizard of Oz, The",1939,112,2777000,8.3,38386
Gone with the Wind,1939,233,3900000,8.1,28836
Mr. Smith Goes to Washington,1939,129,1500000,8.4,11565
Fantasia,1940,80,2280000,7.8,14925
Rebecca,1940,130,1288000,8.3,11403
"Philadelphia Story, The",1940,112,NA,8.2,10536
"Great Dictator, The",1940,124,2000000,8.4,10465
Citizen Kane,1941,119,686033,8.7,61083
"Maltese Falcon, The",1941,101,300000,8.4,19444
Casablanca,1942,102,950000,8.8,66030
Bambi,1942,70,NA,7.5,9197
Double Indemnity,1944,110,927262,8.5,11592
It's a Wonderful Life,1946,118,3180000,8.6,41199
Notorious,1946,101,2000000,8.3,10637
"Big Sleep, The",1946,116,NA,8.3,9980
"Treasure of the Sierra Madre, The",1948,126,3800000,8.4,10470
"Third Man, The",1949,93,NA,8.5,18394
Sunset Blvd.,1950,115,1752000,8.6,16149
All About Eve,1950,138,NA,8.5,13038
"African Queen, The",1951,105,NA,8.1,13765
Strangers on a Train,1951,103,1200000,8.3,10624
"Day the Earth Stood Still, The",1951,85,960000,8.1,10148
"Streetcar Named Desire, A",1951,125,1800000,8.1,9623
Singin' in the Rain,1952,103,2540800,8.5,20585
High Noon,1952,85,750000,8.3,12465
Roman Holiday,1953,117,1500000,8.1,9431
Rear Window,1954,112,2000000,8.7,41035
Shichinin no samurai,1954,206,500000,8.9,32141
On the Waterfront,1954,108,910000,8.4,12803
Rebel Without a Cause,1955,111,1500000,7.8,11055
"Searchers, The",1956,119,3750000,8.2,10211
"Ten Commandments, The",1956,220,13500000,7.7,8895
12 Angry Men,1957,96,340000,8.7,29278
"Bridge on the River Kwai, The",1957,161,3000000,8.4,22408
Paths of Glory,1957,87,935000,8.6,14391
"Sjunde inseglet, Det",1957,92,150000,8.4,9622
Vertigo,1958,129,2479000,8.5,33875
Touch of Evil,1958,106,829000,8.4,11745
North by Northwest,1959,136,4000000,8.6,35648
Some Like It Hot,1959,120,2883848,8.4,25369
Ben-Hur,1959,214,15000000,8.1,21031
Psycho,1960,108,806947,8.6,53962
Spartacus,1960,198,12000000,8,17084
"Apartment, The",1960,125,3000000,8.4,11214
"Magnificent Seven, The",1960,128,NA,7.8,10058
West Side Story,1961,151,6000000,7.8,12931
Breakfast at Tiffany's,1961,115,2500000,7.7,12246
Yojimbo,1961,75,NA,8.4,8968
Lawrence of Arabia,1962,227,15000000,8.6,31230
To Kill a Mockingbird,1962,129,2000000,8.5,30139
"Manchurian Candidate, The",1962,126,NA,8.4,14232
Dr. No,1962,110,1100000,7.2,11864
Lolita,1962,152,2000000,7.6,9150
"Great Escape, The",1963,172,4000000,8.3,20075
"Birds, The",1963,119,2500000,7.8,20072
From Russia with Love,1963,115,2000000,7.3,10291
Charade,1963,113,4000000,8.1,9046
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,93,1800000,8.7,63471
Goldfinger,1964,112,3000000,7.8,19754
Mary Poppins,1964,140,NA,7.6,13909
My Fair Lady,1964,170,17000000,7.8,12721
Per un pugno di dollari,1964,99,200000,7.8,8998
"Sound of Music, The",1965,174,8200000,7.8,20641
Doctor Zhivago,1965,200,11000000,7.9,10283
"Buono, il brutto, il cattivo, Il",1966,180,1200000,8.8,30224
"Graduate, The",1967,105,3000000,8.2,27555
Cool Hand Luke,1967,126,NA,8.2,14167
Bonnie and Clyde,1967,111,2500000,7.9,12653
"Jungle Book, The",1967,78,NA,7.5,9027
2001: A Space Odyssey,1968,156,10500000,8.3,64982
Planet of the Apes,1968,107,5800000,7.9,20516
C'era una volta il West,1968,158,5000000,8.7,17241
Rosemary's Baby,1968,136,3200000,7.9,12033
Night of the Living Dead,1968,90,114000,7.6,11590
Butch Cassidy and the Sundance Kid,1969,110,NA,8.2,20168
Midnight Cowboy,1969,113,3600000,7.9,13091
"Wild Bunch, The",1969,179,6000000,8.2,10550
Easy Rider,1969,94,340000,7.2,10230
MASH,1970,112,3500000,7.8,14829
Patton,1970,172,12000000,8.2,14351
"Clockwork Orange, A",1971,137,2200000,8.3,65283
Willy Wonka & the Chocolate Factory,1971,100,3000000,7.6,16487
"French Connection, The",1971,104,1800000,7.8,11783
Dirty Harry,1971,99,NA,7.6,11108
Harold and Maude,1971,91,1200000,7.9,9173
Diamonds Are Forever,1971,120,7200000,6.6,8738
"Godfather, The",1972,175,6000000,9.1,122755
Deliverance,1972,109,2000000,7.8,14417
"Exorcist, The",1973,132,1000000,7.9,34162
"Sting, The",1973,129,5500000,8.4,23678
American Graffiti,1973,110,777000,7.6,12758
Papillon,1973,150,12000000,7.8,9553
"Godfather: Part II, The",1974,200,13000000,8.9,71363
Chinatown,1974,131,6000000,8.4,25695
Young Frankenstein,1974,106,2800000,8,22281
Blazing Saddles,1974,93,2600000,7.7,17166
"Conversation, The",1974,113,1600000,8.1,10260
"Texas Chain Saw Massacre, The",1974,75,140000,7,10224
One Flew Over the Cuckoo's Nest,1975,133,4400000,8.7,70234
Monty Python and the Holy Grail,1975,91,250000,8.4,60565
Jaws,1975,130,12000000,8.2,46978
"Rocky Horror Picture Show, The",1975,98,1200000,6.8,16737
Dog Day Afternoon,1975,124,NA,8,14962
Barry Lyndon,1975,184,11000000,8,12285
Taxi Driver,1976,110,1300000,8.5,47873
Rocky,1976,119,1100000,7.8,22893
All the President's Men,1976,138,8500000,8,12724
Carrie,1976,98,1800000,7.2,11778
Network,1976,121,3800000,8,9501
Star Wars,1977,125,11000000,8.8,134640
Close Encounters of the Third Kind,1977,137,20000000,7.7,26304
Annie Hall,1977,93,4000000,8.3,21462
"Deer Hunter, The",1978,183,15000000,8.1,28210
Grease,1978,110,6000000,6.8,22214
Halloween,1978,101,325000,7.7,19248
Animal House,1978,109,3000000,7.5,17609
Superman,1978,151,55000000,7.1,17327
Dawn of the Dead,1978,139,1500000,7.7,12621
Apocalypse Now,1979,202,31500000,8.5,64785
Alien,1979,116,11000000,8.3,63400
Life of Brian,1979,94,4000000,8.1,33325
Manhattan,1979,96,NA,8.2,12391
Mad Max,1979,93,350000,6.8,11542
Star Trek: The Motion Picture,1979,143,35000000,5.8,10752
Being There,1979,130,NA,8,10521
Rocky II,1979,119,NA,6.3,9412
Moonraker,1979,126,34000000,5.9,9318
Star Wars: Episode V - The Empire Strikes Back,1980,129,18000000,8.8,103706
"Shining, The",1980,146,19000000,8.3,50908
"Blues Brothers, The",1980,148,27000000,7.7,28964
Raging Bull,1980,129,18000000,8.4,26739
Airplane!,1980,88,3500000,7.8,23369
"Elephant Man, The",1980,124,5000000,8.2,16422
Caddyshack,1980,98,6000000,7.1,13453
Superman II,1980,127,54000000,6.5,10085
Raiders of the Lost Ark,1981,115,20000000,8.7,93511
"Boot, Das",1981,216,14000000,8.5,28920
"Evil Dead, The",1981,86,350000,7.4,14407
Mad Max 2,1981,94,NA,7.4,12091
Excalibur,1981,119,NA,7.4,11867
Escape from New York,1981,99,6000000,6.8,9924
